4.05948 0.7 0.7 2 111 5
4.02326 0.716971 0.716971 2 111 5
4.00547 0.726107 0.726107 2 111 5
3.98793 0.735718 0.735718 2 111 5
3.97067 0.745831 0.745831 2 111 5
3.95372 0.756455 0.756455 2 111 5
3.93715 0.767654 0.767654 2 111 5
3.92098 0.779427 0.779427 2 111 5
3.90526 0.791789 0.791789 2 111 5
3.89003 0.804754 0.804754 2 111 5
3.87534 0.818329 0.818329 2 111 5
3.86124 0.832515 0.832515 2 111 5
3.84777 0.847299 0.847299 2 111 5
3.83496 0.862661 0.862661 2 111 5
3.82287 0.878593 0.878593 2 111 5
3.81145 0.895013 0.895013 2 111 5
3.80075 0.911906 0.911906 2 111 5
3.79076 0.929232 0.929232 2 111 5
3.78147 0.946945 0.946945 2 111 5
3.77287 0.964996 0.964996 2 111 5
3.76496 0.983365 0.983365 2 111 5
3.75758 1.00195 1.00195 2 111 5
3.75079 1.02076 1.02076 2 111 5
3.74454 1.03976 1.03976 2 111 5
3.7388 1.05892 1.05892 2 111 5
3.73307 1.07807 1.07807 2 111 5
3.72826 1.09751 1.09751 2 111 5
3.72384 1.11703 1.11703 2 111 5
3.71977 1.13662 1.13662 2 111 5
3.71602 1.15627 1.15627 2 111 5
3.71257 1.17598 1.17598 2 111 5
3.70939 1.19574 1.19574 2 111 5
3.70646 1.21552 1.21552 2 111 5
3.70375 1.23535 1.23535 2 111 5
3.70125 1.25519 1.25519 2 111 5
3.69894 1.27506 1.27506 2 111 5
3.69679 1.29495 1.29495 2 111 5
3.6948 1.31485 1.31485 2 111 5
3.69296 1.33477 1.33477 2 111 5
3.69125 1.3547 1.3547 2 111 5
3.68965 1.37463 1.37463 2 111 5
3.68817 1.39458 1.39458 2 111 5
3.68679 1.41453 1.41453 2 111 5
3.68551 1.43449 1.43449 2 111 5
3.6843 1.45446 1.45446 2 111 5
3.68318 1.47443 1.47443 2 111 5
3.68213 1.4944 1.4944 2 111 5
3.68115 1.51437 1.51437 2 111 5
3.68023 1.53435 1.53435 2 111 5
3.67937 1.55434 1.55434 2 111 5
3.67857 1.57432 1.57432 2 111 5
3.67781 1.5943 1.5943 2 111 5
3.67709 1.61429 1.61429 2 111 5
3.67643 1.63428 1.63428 2 111 5
3.6758 1.65427 1.65427 2 111 5
3.6752 1.67426 1.67426 2 111 5
