3.80505 0.3 0.3 2 11 5
3.80514 0.26 0.26 2 11 5
3.8051 0.219999 0.219999 2 11 5
3.80509 0.17 0.17 2 11 5
3.80509 0.12 0.12 2 11 5
3.80509 0.0699995 0.0699995 2 11 5
3.80509 0.0199995 0.0199995 2 11 5
3.80509 -0.0300005 -0.0300005 2 11 5
3.80509 -0.0800005 -0.0800005 2 11 5
3.80509 -0.130001 -0.130001 2 11 5
3.80509 -0.180001 -0.180001 2 11 5
3.80509 -0.230001 -0.230001 2 11 5
3.80509 -0.280001 -0.280001 2 11 5
3.80509 -0.330001 -0.330001 2 11 5
3.80509 -0.380001 -0.380001 2 11 5
3.80509 -0.430001 -0.430001 2 11 5
3.80509 -0.480001 -0.480001 2 11 5
3.80509 -0.530001 -0.530001 2 11 5
3.80509 -0.580001 -0.580001 2 11 5
3.80509 -0.630001 -0.630001 2 11 5
3.80509 -0.680001 -0.680001 2 11 5
3.80509 -0.730001 -0.730001 2 11 5
3.80509 -0.780001 -0.780001 2 11 5
3.80509 -0.830001 -0.830001 2 11 5
3.80509 -0.880001 -0.880001 2 11 5
3.80509 -0.930001 -0.930001 2 11 5
3.80509 -0.980001 -0.980001 2 11 5
3.80509 -1.03 -1.03 2 11 5
3.80509 -1.08 -1.08 2 11 5
3.80509 -1.13 -1.13 2 11 5
3.80509 -1.18 -1.18 2 11 5
3.80509 -1.23 -1.23 2 11 5
3.80509 -1.28 -1.28 2 11 5
3.80509 -1.33 -1.33 2 11 5
3.80509 -1.38 -1.38 2 11 5
3.80509 -1.43 -1.43 2 11 5
3.80509 -1.48 -1.48 2 11 5
3.80509 -1.53 -1.53 2 11 5
3.80509 -1.58 -1.58 2 11 5
3.80509 -1.63 -1.63 2 11 5
3.80509 -1.68 -1.68 2 11 5
3.80509 -1.73 -1.73 2 11 5
3.80509 -1.78 -1.78 2 11 5
3.80509 -1.83 -1.83 2 11 5
3.80509 -1.88 -1.88 2 11 5
3.80509 -1.93 -1.93 2 11 5
3.80509 -1.98 -1.98 2 11 5
3.80509 -2.03 -2.03 2 11 5
3.80509 -2.08 -2.08 2 11 5
3.80509 -2.13 -2.13 2 11 5
3.80509 -2.18 -2.18 2 11 5
3.80509 -2.23 -2.23 2 11 5
3.80509 -2.28 -2.28 2 11 5
3.80509 -2.33 -2.33 2 11 5
3.80509 -2.38 -2.38 2 11 5
3.80509 -2.43 -2.43 2 11 5
3.80509 -2.48 -2.48 2 11 5
3.80509 -2.53 -2.53 2 11 5
3.80509 -2.58 -2.58 2 11 5
3.80509 -2.63 -2.63 2 11 5
3.80509 -2.68 -2.68 2 11 5
3.80509 -2.73 -2.73 2 11 5
3.80509 -2.78 -2.78 2 11 5
3.80509 -2.83 -2.83 2 11 5
3.80509 -2.88 -2.88 2 11 5
3.80509 -2.93 -2.93 2 11 5
3.80509 -2.98 -2.98 2 11 5
3.80509 -3.03 -3.03 2 11 5
3.80509 -3.08 -3.08 2 11 5
3.80509 -3.13 -3.13 2 11 5
3.80509 -3.18 -3.18 2 11 5
3.80509 -3.23 -3.23 2 11 5
3.80509 -3.28 -3.28 2 11 5
3.80509 -3.33 -3.33 2 11 5
3.80509 -3.38 -3.38 2 11 5
3.80509 -3.43 -3.43 2 11 5
3.80509 -3.48 -3.48 2 11 5
3.80509 -3.53 -3.53 2 11 5
3.80509 -3.58 -3.58 2 11 5
3.80509 -3.63 -3.63 2 11 5
3.80509 -3.68 -3.68 2 11 5
3.80509 -3.73 -3.73 2 11 5
3.80509 -3.78 -3.78 2 11 5
3.80509 -3.83 -3.83 2 11 5
3.80509 -3.88 -3.88 2 11 5
3.80509 -3.93 -3.93 2 11 5
3.80509 -3.98 -3.98 2 11 5
3.80509 -4.03 -4.03 2 11 5
3.80509 -4.08 -4.08 2 11 5
3.80509 -4.13 -4.13 2 11 5
3.80509 -4.18 -4.18 2 11 5
